COD_REGION;NOMBRE_REGION;COD_COM;NOMBRE_COMUNA;UV;NOMBRE_UV;P_CSE40_P;P_CSE40_R;P_CSE40_C;P_CSE40_U;P_CSE50_P;P_CSE50_R;P_CSE50_C;P_CSE50_U;P_CSE60_P;P_CSE60_R;P_CSE60_C;P_CSE60_U;P_CSE70_P;P_CSE70_R;P_CSE70_C;P_CSE70_U;P_CSE80_P;P_CSE80_R;P_CSE80_C;P_CSE80_U;P_CSE90_P;P_CSE90_R;P_CSE90_C;P_CSE90_U;P_CSE100_P;P_CSE100_R;P_CSE100_C;P_CSE100_U;P_TOTAL_P;P_TOTAL_R;P_TOTAL_C;P_TOTAL_U;PERIODO
1;Región de Tarapacá;1101;Iquique;110161;CAVANCHA;53,6;47,8;43,1;35,6;9,7;9,3;9,4;5,1;8;8;8,3;5,1;8;8,1;8,7;1,7;7,6;8,2;9,1;16,9;9,9;12,8;14,6;30,5;3,3;5,8;6,8;5,1;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110162;18 DE SEPTIEMBRE;53,6;47,8;43,1;47,7;9,7;9,3;9,4;8,8;8;8;8,3;9,5;8;8,1;8,7;8,5;7,6;8,2;9,1;7,3;9,9;12,8;14,6;10,9;3,3;5,8;6,8;7,3;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110163;CARAMPANGUE;53,6;47,8;43,1;38;9,7;9,3;9,4;10,6;8;8;8,3;8;8;8,1;8,7;7,6;7,6;8,2;9,1;8,8;9,9;12,8;14,6;16,6;3,3;5,8;6,8;10,4;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110164;EL MORRO;53,6;47,8;43,1;42;9,7;9,3;9,4;7,1;8;8;8,3;7,9;8;8,1;8,7;10,5;7,6;8,2;9,1;9,2;9,9;12,8;14,6;16,1;3,3;5,8;6,8;7,2;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110165;CENTRAL;53,6;47,8;43,1;45,8;9,7;9,3;9,4;10,8;8;8;8,3;8;8;8,1;8,7;8,3;7,6;8,2;9,1;10,2;9,9;12,8;14,6;11,9;3,3;5,8;6,8;5;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110166;SARGENTO ALDEA;53,6;47,8;43,1;50,1;9,7;9,3;9,4;9,2;8;8;8,3;8,7;8;8,1;8,7;7,9;7,6;8,2;9,1;8,8;9,9;12,8;14,6;10,7;3,3;5,8;6,8;4,5;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110167;GRUMETE VOLADOS;53,6;47,8;43,1;50;9,7;9,3;9,4;9,3;8;8;8,3;8,1;8;8,1;8,7;6,7;7,6;8,2;9,1;8,8;9,9;12,8;14,6;12,5;3,3;5,8;6,8;4,6;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110168;PLAZA ARICA;53,6;47,8;43,1;51,3;9,7;9,3;9,4;9,9;8;8;8,3;8;8;8,1;8,7;9,3;7,6;8,2;9,1;7,5;9,9;12,8;14,6;10;3,3;5,8;6,8;4;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110169;VIALIDAD;53,6;47,8;43,1;39,7;9,7;9,3;9,4;10,1;8;8;8,3;5,6;8;8,1;8,7;6,7;7,6;8,2;9,1;7,3;9,9;12,8;14,6;20,1;3,3;5,8;6,8;10,6;100;100;100;100;201606
1;Región de Tarapacá;1101;Iquique;110170;PLAN COSTERO;53,6;47,8;43,1;38;9,7;9,3;9,4;9,4;8;8;8,3;9,4;8;8,1;8,7;8,8;7,6;8,2;9,1;8,2;9,9;12,8;14,6;17;3,3;5,8;6,8;9,4;100;100;100;100;201606
